speech_dataset,speech_uid,speech_filename
globe,S_020560_000003,000003.flac
dns5,book_00255_chp_0011_reader_04471_18_seg_1_seg1,book_00255_chp_0011_reader_04471_18_seg_1_seg1.wav
libritts,4970_29095_000053_000000,4970_29095_000053_000000.wav
dns5,book_01415_chp_0017_reader_06507_75_seg_0_seg1,book_01415_chp_0017_reader_06507_75_seg_0_seg1.wav
dns5,book_00082_chp_0011_reader_01593_38_seg_0_seg1,book_00082_chp_0011_reader_01593_38_seg_0_seg1.wav
ears,p103_rainbow_01_lowpitch,00473.wav
dns5,book_00162_chp_0028_reader_08756_15_seg_0_seg1(2),book_00162_chp_0028_reader_08756_15_seg_0_seg1(2).wav
ears,p105_rainbow_07_fast,01243.wav
ears,p107_rainbow_01_highpitch,01857.wav
globe,S_002663_000011,000011.flac
ears,p104_sentences_02_fast,00953.wav
globe,S_002468_000003,000003.flac
dns5,book_00424_chp_0008_reader_04758_54_seg_1_seg2,book_00424_chp_0008_reader_04758_54_seg_1_seg2.wav
ears,p106_sentences_14_lowpitch,01682.wav
globe,S_001495_000003,000003.flac
vctk,p232_011_mic2,p232_011_mic2.flac
ears,p106_rainbow_02_whisper,01552.wav
ears,p102_rainbow_05_whisper,00203.wav
ears,p106_rainbow_05_fast,01582.wav
libritts,8555_284447_000059_000000,8555_284447_000059_000000.wav
dns5,book_00384_chp_0022_reader_07500_28_seg_2_seg2(2),book_00384_chp_0022_reader_07500_28_seg_2_seg2(2).wav
libritts,4970_29093_000014_000003,4970_29093_000014_000003.wav
ears,p104_rainbow_08_slow,00936.wav
libritts,3575_170457_000010_000001,3575_170457_000010_000001.wav
globe,S_003319_000008,000008.flac
ears,p102_rainbow_08_regular,00230.wav
ears,p105_rainbow_03_highpitch,01189.wav
globe,S_011195_000016,000016.flac
ears,p105_emo_anger_sentences,01015.wav
dns5,book_00166_chp_0025_reader_00732_16_seg_1_seg1(2),book_00166_chp_0025_reader_00732_16_seg_1_seg1(2).wav
globe,S_002386_000001,000001.flac
vctk,s5_101_mic2,s5_101_mic2.flac
dns5,book_00028_chp_0038_reader_05919_32_seg_0_seg1(2),book_00028_chp_0038_reader_05919_32_seg_0_seg1(2).wav
globe,S_021551_000001,000001.flac
dns5,book_00375_chp_0004_reader_01282_0_seg_1_seg1,book_00375_chp_0004_reader_01282_0_seg_1_seg1.wav
vctk,s5_395_mic2,s5_395_mic2.flac
globe,S_012896_000009,000009.flac
ears,p107_rainbow_03_whisper,01883.wav
ears,p106_sentences_13_lowpitch,01681.wav
dns5,book_00082_chp_0011_reader_01593_5_seg_2_seg1(2),book_00082_chp_0011_reader_01593_5_seg_2_seg1(2).wav
globe,S_015857_000001,000001.flac
dns5,book_00375_chp_0004_reader_01282_44_seg_0_seg1(2),book_00375_chp_0004_reader_01282_44_seg_0_seg1(2).wav
ears,p106_rainbow_04_regular,01575.wav
globe,S_002406_000002,000002.flac
vctk,p232_220_mic2,p232_220_mic2.flac
globe,S_016331_000000,000000.flac
ears,p107_freeform_speech_01,01764.wav
dns5,book_00028_chp_0031_reader_05303_34_seg_0_seg1(2),book_00028_chp_0031_reader_05303_34_seg_0_seg1(2).wav
globe,S_018485_000012,000012.flac
globe,S_011160_000003,000003.flac
globe,S_014767_000000,000000.flac
globe,S_012192_000001,000001.flac
vctk,p232_295_mic2,p232_295_mic2.flac
ears,p104_rainbow_08_whisper,00938.wav
globe,S_020277_000001,000001.flac
globe,S_017693_000004,000004.flac
vctk,p257_157_mic2,p257_157_mic2.flac
globe,S_005882_000011,000011.flac
dns5,book_00028_chp_0038_reader_05919_4_seg_0_seg1,book_00028_chp_0038_reader_05919_4_seg_0_seg1.wav
ears,p103_emo_sadness_sentences,00358.wav
libritts,4970_29093_000050_000005,4970_29093_000050_000005.wav
ears,p105_sentences_02_regular,01298.wav
libritts,4446_2273_000001_000002,4446_2273_000001_000002.wav
ears,p103_emo_adoration_sentences,00290.wav
ears,p104_sentences_02_slow,00963.wav
globe,S_015117_000004,000004.flac
vctk,p232_362_mic2,p232_362_mic2.flac
libritts,1995_1837_000012_000000,1995_1837_000012_000000.wav
globe,S_002745_000002,000002.flac
globe,S_019599_000000,000000.flac
vctk,s5_310_mic2,s5_310_mic2.flac
ears,p103_emo_embarassment_sentences,00326.wav
vctk,s5_378_mic2,s5_378_mic2.flac
ears,p106_freeform_speech_05,01504.wav
globe,S_022111_000006,000006.flac
globe,S_021435_000004,000004.flac
globe,S_009975_000002,000002.flac
ears,p105_emo_adoration_sentences,01009.wav
dns5,book_00162_chp_0035_reader_06647_5_seg_1_seg1,book_00162_chp_0035_reader_06647_5_seg_1_seg1.wav
dns5,book_00028_chp_0038_reader_05919_4_seg_2_seg1,book_00028_chp_0038_reader_05919_4_seg_2_seg1.wav
dns5,book_00424_chp_0008_reader_04758_0_seg_1_seg2,book_00424_chp_0008_reader_04758_0_seg_1_seg2.wav
dns5,book_00082_chp_0011_reader_01593_35_seg_1_seg1,book_00082_chp_0011_reader_01593_35_seg_1_seg1.wav
dns5,book_00162_chp_0035_reader_06647_7_seg_0_seg1(2),book_00162_chp_0035_reader_06647_7_seg_0_seg1(2).wav
dns5,book_00375_chp_0004_reader_01282_44_seg_0_seg1,book_00375_chp_0004_reader_01282_44_seg_0_seg1.wav
dns5,book_00166_chp_0025_reader_00732_8_seg_1_seg1(2),book_00166_chp_0025_reader_00732_8_seg_1_seg1(2).wav
dns5,book_00166_chp_0025_reader_00732_30_seg_2_seg1,book_00166_chp_0025_reader_00732_30_seg_2_seg1.wav
dns5,book_01415_chp_0017_reader_06507_28_seg_2_seg2,book_01415_chp_0017_reader_06507_28_seg_2_seg2.wav
dns5,book_01415_chp_0017_reader_06507_56_seg_0_seg1,book_01415_chp_0017_reader_06507_56_seg_0_seg1.wav
dns5,book_00028_chp_0038_reader_05919_49_seg_1_seg1(2),book_00028_chp_0038_reader_05919_49_seg_1_seg1(2).wav
dns5,book_01415_chp_0017_reader_06507_29_seg_2_seg2(2),book_01415_chp_0017_reader_06507_29_seg_2_seg2(2).wav
dns5,book_00255_chp_0011_reader_04471_18_seg_1_seg2,book_00255_chp_0011_reader_04471_18_seg_1_seg2.wav
dns5,book_00082_chp_0011_reader_01593_29_seg_2_seg1(2),book_00082_chp_0011_reader_01593_29_seg_2_seg1(2).wav
dns5,book_00082_chp_0011_reader_01593_86_seg_0_seg1(2),book_00082_chp_0011_reader_01593_86_seg_0_seg1(2).wav
dns5,book_00162_chp_0035_reader_06647_29_seg_1_seg1,book_00162_chp_0035_reader_06647_29_seg_1_seg1.wav
dns5,book_00166_chp_0025_reader_00732_0_seg_2_seg1,book_00166_chp_0025_reader_00732_0_seg_2_seg1.wav
dns5,book_00375_chp_0017_reader_05076_0_seg_2_seg1,book_00375_chp_0017_reader_05076_0_seg_2_seg1.wav
dns5,book_00130_chp_0007_reader_11203_38_seg_2_seg2,book_00130_chp_0007_reader_11203_38_seg_2_seg2.wav
dns5,book_00375_chp_0004_reader_01282_1_seg_1_seg1(2),book_00375_chp_0004_reader_01282_1_seg_1_seg1(2).wav
dns5,book_00255_chp_0011_reader_04471_3_seg_1_seg1(2),book_00255_chp_0011_reader_04471_3_seg_1_seg1(2).wav
dns5,book_00408_chp_0084_reader_02210_5_seg_1_seg2(2),book_00408_chp_0084_reader_02210_5_seg_1_seg2(2).wav
dns5,book_01415_chp_0017_reader_06507_77_seg_2_seg1,book_01415_chp_0017_reader_06507_77_seg_2_seg1.wav
dns5,book_00082_chp_0011_reader_01593_7_seg_1_seg1(2),book_00082_chp_0011_reader_01593_7_seg_1_seg1(2).wav
dns5,book_00162_chp_0028_reader_08756_21_seg_2_seg1(2),book_00162_chp_0028_reader_08756_21_seg_2_seg1(2).wav
dns5,book_01415_chp_0017_reader_06507_26_seg_1_seg1(2),book_01415_chp_0017_reader_06507_26_seg_1_seg1(2).wav
dns5,book_00082_chp_0011_reader_01593_44_seg_1_seg1,book_00082_chp_0011_reader_01593_44_seg_1_seg1.wav
dns5,book_00162_chp_0035_reader_06647_12_seg_0_seg1(2),book_00162_chp_0035_reader_06647_12_seg_0_seg1(2).wav
dns5,book_00028_chp_0038_reader_05919_52_seg_0_seg1,book_00028_chp_0038_reader_05919_52_seg_0_seg1.wav
dns5,book_00166_chp_0025_reader_00732_15_seg_2_seg2,book_00166_chp_0025_reader_00732_15_seg_2_seg2.wav
dns5,book_00384_chp_0022_reader_07500_24_seg_2_seg2,book_00384_chp_0022_reader_07500_24_seg_2_seg2.wav
dns5,book_00028_chp_0038_reader_05919_49_seg_0_seg1(2),book_00028_chp_0038_reader_05919_49_seg_0_seg1(2).wav
dns5,book_00336_chp_0052_reader_01653_1_seg_1_seg2(2),book_00336_chp_0052_reader_01653_1_seg_1_seg2(2).wav
dns5,book_01415_chp_0017_reader_06507_26_seg_2_seg2,book_01415_chp_0017_reader_06507_26_seg_2_seg2.wav
dns5,book_00375_chp_0017_reader_05076_83_seg_2_seg1(2),book_00375_chp_0017_reader_05076_83_seg_2_seg1(2).wav
dns5,book_00171_chp_0010_reader_05715_30_seg_1_seg1,book_00171_chp_0010_reader_05715_30_seg_1_seg1.wav
dns5,book_00082_chp_0011_reader_01593_52_seg_2_seg2,book_00082_chp_0011_reader_01593_52_seg_2_seg2.wav
dns5,book_00081_chp_0018_reader_01595_16_seg_0_seg1,book_00081_chp_0018_reader_01595_16_seg_0_seg1.wav
dns5,book_00082_chp_0011_reader_01593_18_seg_0_seg1,book_00082_chp_0011_reader_01593_18_seg_0_seg1.wav
dns5,book_00255_chp_0011_reader_04471_3_seg_1_seg1,book_00255_chp_0011_reader_04471_3_seg_1_seg1.wav
dns5,book_00375_chp_0004_reader_01282_63_seg_2_seg2(2),book_00375_chp_0004_reader_01282_63_seg_2_seg2(2).wav
dns5,book_00082_chp_0011_reader_01593_79_seg_0_seg1,book_00082_chp_0011_reader_01593_79_seg_0_seg1.wav
dns5,book_01415_chp_0017_reader_06507_69_seg_2_seg1,book_01415_chp_0017_reader_06507_69_seg_2_seg1.wav
dns5,book_00171_chp_0010_reader_05715_42_seg_1_seg2,book_00171_chp_0010_reader_05715_42_seg_1_seg2.wav
dns5,book_00384_chp_0022_reader_07500_20_seg_2_seg1,book_00384_chp_0022_reader_07500_20_seg_2_seg1.wav
dns5,book_00115_chp_0021_reader_08788_23_seg_2_seg1,book_00115_chp_0021_reader_08788_23_seg_2_seg1.wav
dns5,book_00081_chp_0018_reader_01595_0_seg_2_seg1(2),book_00081_chp_0018_reader_01595_0_seg_2_seg1(2).wav
dns5,book_00082_chp_0011_reader_01593_40_seg_0_seg1(2),book_00082_chp_0011_reader_01593_40_seg_0_seg1(2).wav
dns5,book_00082_chp_0011_reader_01593_2_seg_0_seg1(2),book_00082_chp_0011_reader_01593_2_seg_0_seg1(2).wav
dns5,book_00171_chp_0010_reader_05715_17_seg_2_seg1(2),book_00171_chp_0010_reader_05715_17_seg_2_seg1(2).wav
dns5,book_00082_chp_0011_reader_01593_78_seg_0_seg1(2),book_00082_chp_0011_reader_01593_78_seg_0_seg1(2).wav
dns5,book_00375_chp_0004_reader_01282_65_seg_2_seg1(2),book_00375_chp_0004_reader_01282_65_seg_2_seg1(2).wav
dns5,book_00082_chp_0011_reader_01593_51_seg_1_seg2(2),book_00082_chp_0011_reader_01593_51_seg_1_seg2(2).wav
dns5,book_00171_chp_0010_reader_05715_11_seg_0_seg2,book_00171_chp_0010_reader_05715_11_seg_0_seg2.wav
dns5,book_00082_chp_0011_reader_01593_66_seg_1_seg1,book_00082_chp_0011_reader_01593_66_seg_1_seg1.wav
dns5,book_00081_chp_0018_reader_01595_35_seg_1_seg2(2),book_00081_chp_0018_reader_01595_35_seg_1_seg2(2).wav
dns5,book_00082_chp_0011_reader_01593_78_seg_0_seg1,book_00082_chp_0011_reader_01593_78_seg_0_seg1.wav
dns5,book_00171_chp_0010_reader_05715_17_seg_2_seg1,book_00171_chp_0010_reader_05715_17_seg_2_seg1.wav
dns5,book_01415_chp_0017_reader_06507_28_seg_2_seg2(2),book_01415_chp_0017_reader_06507_28_seg_2_seg2(2).wav
dns5,book_01415_chp_0017_reader_06507_41_seg_2_seg2(2),book_01415_chp_0017_reader_06507_41_seg_2_seg2(2).wav
dns5,book_00082_chp_0011_reader_01593_2_seg_2_seg1,book_00082_chp_0011_reader_01593_2_seg_2_seg1.wav
dns5,book_00375_chp_0004_reader_01282_39_seg_1_seg1,book_00375_chp_0004_reader_01282_39_seg_1_seg1.wav
dns5,book_00082_chp_0011_reader_01593_3_seg_1_seg1(2),book_00082_chp_0011_reader_01593_3_seg_1_seg1(2).wav
dns5,book_00166_chp_0025_reader_00732_24_seg_2_seg3,book_00166_chp_0025_reader_00732_24_seg_2_seg3.wav
dns5,book_00424_chp_0008_reader_04758_22_seg_1_seg1,book_00424_chp_0008_reader_04758_22_seg_1_seg1.wav
dns5,book_00028_chp_0031_reader_05303_67_seg_2_seg1(2),book_00028_chp_0031_reader_05303_67_seg_2_seg1(2).wav
dns5,book_00375_chp_0004_reader_01282_40_seg_2_seg1(2),book_00375_chp_0004_reader_01282_40_seg_2_seg1(2).wav
dns5,book_00162_chp_0035_reader_06647_5_seg_1_seg1(2),book_00162_chp_0035_reader_06647_5_seg_1_seg1(2).wav
dns5,book_00162_chp_0028_reader_08756_18_seg_1_seg1,book_00162_chp_0028_reader_08756_18_seg_1_seg1.wav
dns5,book_00162_chp_0035_reader_06647_2_seg_1_seg1,book_00162_chp_0035_reader_06647_2_seg_1_seg1.wav
dns5,book_00162_chp_0028_reader_08756_22_seg_2_seg1,book_00162_chp_0028_reader_08756_22_seg_2_seg1.wav
dns5,book_00162_chp_0028_reader_08756_15_seg_0_seg1,book_00162_chp_0028_reader_08756_15_seg_0_seg1.wav
dns5,book_00028_chp_0038_reader_05919_28_seg_1_seg1,book_00028_chp_0038_reader_05919_28_seg_1_seg1.wav
dns5,book_00028_chp_0038_reader_05919_49_seg_0_seg1,book_00028_chp_0038_reader_05919_49_seg_0_seg1.wav
dns5,book_01415_chp_0017_reader_06507_13_seg_0_seg1(2),book_01415_chp_0017_reader_06507_13_seg_0_seg1(2).wav
dns5,book_00082_chp_0011_reader_01593_20_seg_2_seg1(2),book_00082_chp_0011_reader_01593_20_seg_2_seg1(2).wav
dns5,book_00028_chp_0031_reader_05303_36_seg_0_seg1(2),book_00028_chp_0031_reader_05303_36_seg_0_seg1(2).wav
dns5,book_01415_chp_0017_reader_06507_33_seg_1_seg2,book_01415_chp_0017_reader_06507_33_seg_1_seg2.wav
dns5,book_00162_chp_0028_reader_08756_18_seg_1_seg1(2),book_00162_chp_0028_reader_08756_18_seg_1_seg1(2).wav
dns5,book_00082_chp_0011_reader_01593_33_seg_2_seg2(2),book_00082_chp_0011_reader_01593_33_seg_2_seg2(2).wav
dns5,book_00028_chp_0038_reader_05919_48_seg_0_seg1,book_00028_chp_0038_reader_05919_48_seg_0_seg1.wav
dns5,book_00166_chp_0022_reader_09309_4_seg_1_seg2,book_00166_chp_0022_reader_09309_4_seg_1_seg2.wav
dns5,book_00028_chp_0038_reader_05919_16_seg_2_seg1(2),book_00028_chp_0038_reader_05919_16_seg_2_seg1(2).wav
dns5,book_00082_chp_0011_reader_01593_56_seg_2_seg1(2),book_00082_chp_0011_reader_01593_56_seg_2_seg1(2).wav
dns5,book_00028_chp_0038_reader_05919_28_seg_2_seg1(2),book_00028_chp_0038_reader_05919_28_seg_2_seg1(2).wav
dns5,book_00082_chp_0011_reader_01593_26_seg_0_seg1,book_00082_chp_0011_reader_01593_26_seg_0_seg1.wav
dns5,book_00028_chp_0038_reader_05919_5_seg_2_seg1,book_00028_chp_0038_reader_05919_5_seg_2_seg1.wav
dns5,book_00028_chp_0038_reader_05919_9_seg_2_seg1(2),book_00028_chp_0038_reader_05919_9_seg_2_seg1(2).wav
dns5,book_00162_chp_0035_reader_06647_8_seg_2_seg2,book_00162_chp_0035_reader_06647_8_seg_2_seg2.wav
dns5,book_00424_chp_0008_reader_04758_31_seg_1_seg2,book_00424_chp_0008_reader_04758_31_seg_1_seg2.wav
dns5,book_00162_chp_0035_reader_06647_13_seg_1_seg1(2),book_00162_chp_0035_reader_06647_13_seg_1_seg1(2).wav
dns5,book_00166_chp_0026_reader_01339_13_seg_2_seg1(2),book_00166_chp_0026_reader_01339_13_seg_2_seg1(2).wav
dns5,book_00162_chp_0035_reader_06647_5_seg_2_seg1(2),book_00162_chp_0035_reader_06647_5_seg_2_seg1(2).wav
dns5,book_00082_chp_0011_reader_01593_10_seg_1_seg1,book_00082_chp_0011_reader_01593_10_seg_1_seg1.wav
dns5,book_00082_chp_0011_reader_01593_15_seg_0_seg1,book_00082_chp_0011_reader_01593_15_seg_0_seg1.wav
dns5,book_00375_chp_0004_reader_01282_2_seg_2_seg1,book_00375_chp_0004_reader_01282_2_seg_2_seg1.wav
dns5,book_00082_chp_0011_reader_01593_33_seg_2_seg2,book_00082_chp_0011_reader_01593_33_seg_2_seg2.wav
dns5,book_00028_chp_0031_reader_05303_34_seg_0_seg1,book_00028_chp_0031_reader_05303_34_seg_0_seg1.wav
dns5,book_00082_chp_0011_reader_01593_0_seg_2_seg1,book_00082_chp_0011_reader_01593_0_seg_2_seg1.wav
dns5,book_01415_chp_0017_reader_06507_33_seg_1_seg2(2),book_01415_chp_0017_reader_06507_33_seg_1_seg2(2).wav
dns5,book_01415_chp_0017_reader_06507_35_seg_2_seg1(2),book_01415_chp_0017_reader_06507_35_seg_2_seg1(2).wav
dns5,book_00408_chp_0084_reader_02210_2_seg_2_seg2(2),book_00408_chp_0084_reader_02210_2_seg_2_seg2(2).wav
dns5,book_00171_chp_0010_reader_05715_15_seg_0_seg1(2),book_00171_chp_0010_reader_05715_15_seg_0_seg1(2).wav
dns5,book_00082_chp_0011_reader_01593_23_seg_0_seg2,book_00082_chp_0011_reader_01593_23_seg_0_seg2.wav
dns5,book_00082_chp_0011_reader_01593_23_seg_0_seg1,book_00082_chp_0011_reader_01593_23_seg_0_seg1.wav
dns5,book_00375_chp_0004_reader_01282_42_seg_2_seg3,book_00375_chp_0004_reader_01282_42_seg_2_seg3.wav
dns5,book_00375_chp_0004_reader_01282_42_seg_2_seg3(2),book_00375_chp_0004_reader_01282_42_seg_2_seg3(2).wav
dns5,book_00082_chp_0011_reader_01593_48_seg_0_seg1,book_00082_chp_0011_reader_01593_48_seg_0_seg1.wav
dns5,book_00166_chp_0025_reader_00732_3_seg_1_seg1,book_00166_chp_0025_reader_00732_3_seg_1_seg1.wav
dns5,book_01415_chp_0017_reader_06507_9_seg_0_seg1(2),book_01415_chp_0017_reader_06507_9_seg_0_seg1(2).wav
dns5,book_01415_chp_0017_reader_06507_10_seg_0_seg1(2),book_01415_chp_0017_reader_06507_10_seg_0_seg1(2).wav
dns5,book_00082_chp_0011_reader_01593_45_seg_0_seg1(2),book_00082_chp_0011_reader_01593_45_seg_0_seg1(2).wav
dns5,book_00166_chp_0026_reader_01339_26_seg_0_seg2(2),book_00166_chp_0026_reader_01339_26_seg_0_seg2(2).wav
dns5,book_00082_chp_0011_reader_01593_7_seg_1_seg1,book_00082_chp_0011_reader_01593_7_seg_1_seg1.wav
dns5,book_01415_chp_0017_reader_06507_27_seg_1_seg1,book_01415_chp_0017_reader_06507_27_seg_1_seg1.wav
dns5,book_00082_chp_0011_reader_01593_26_seg_1_seg1,book_00082_chp_0011_reader_01593_26_seg_1_seg1.wav
dns5,book_00082_chp_0011_reader_01593_58_seg_0_seg1(2),book_00082_chp_0011_reader_01593_58_seg_0_seg1(2).wav
dns5,book_00166_chp_0026_reader_01339_0_seg_2_seg1,book_00166_chp_0026_reader_01339_0_seg_2_seg1.wav
dns5,book_00028_chp_0038_reader_05919_49_seg_1_seg1,book_00028_chp_0038_reader_05919_49_seg_1_seg1.wav
dns5,book_00166_chp_0025_reader_00732_15_seg_1_seg1(2),book_00166_chp_0025_reader_00732_15_seg_1_seg1(2).wav
ears,p104_rainbow_04_loud,00875.wav
ears,p104_emo_pain_sentences,00717.wav
ears,p106_sentences_01_regular,01639.wav
ears,p102_sentences_02_loud,00247.wav
ears,p103_emo_fear_sentences,00333.wav
ears,p107_sentences_01_lowpitch,01952.wav
ears,p107_sentences_06_loud,01978.wav
ears,p105_rainbow_04_fast,01202.wav
ears,p104_freeform_speech_05,00815.wav
ears,p106_rainbow_05_highpitch,01583.wav
ears,p102_sentences_09_fast,00269.wav
ears,p106_rainbow_04_whisper,01580.wav
ears,p104_sentences_01_regular,00946.wav
ears,p107_sentences_18_regular,02000.wav
ears,p103_sentences_01_whisper,00619.wav
ears,p106_rainbow_05_highpitch,01584.wav
ears,p107_rainbow_04_lowpitch,01890.wav
ears,p106_rainbow_08_regular,01626.wav
ears,p107_sentences_03_whisper,01973.wav
ears,p103_rainbow_07_slow,00582.wav
ears,p102_sentences_19_regular,00282.wav
ears,p105_rainbow_03_fast,01188.wav
ears,p103_rainbow_01_whisper,00480.wav
ears,p102_freeform_speech_03,00097.wav
ears,p103_rainbow_07_lowpitch,00574.wav
ears,p102_sentences_02_lowpitch,00248.wav
ears,p105_freeform_speech_03,01111.wav
ears,p105_sentences_01_regular,01284.wav
ears,p103_rainbow_06_lowpitch,00557.wav
ears,p103_sentences_10_fast,00655.wav
ears,p104_sentences_02_slow,00962.wav
ears,p103_emo_anger_sentences,00302.wav
ears,p104_rainbow_01_highpitch,00838.wav
ears,p102_sentences_18_regular,00281.wav
ears,p107_emo_neutral_sentences,01729.wav
ears,p104_rainbow_05_lowpitch,00891.wav
ears,p103_rainbow_03_slow,00507.wav
ears,p107_rainbow_08_loud,01938.wav
ears,p102_rainbow_02_loud,00172.wav
ears,p103_sentences_02_loud,00625.wav
ears,p107_emo_realization_sentences,01737.wav
ears,p103_rainbow_05_fast,00535.wav
ears,p104_freeform_speech_05,00807.wav
ears,p104_sentences_03_whisper,00967.wav
ears,p104_emo_realization_sentences,00722.wav
ears,p105_freeform_speech_03,01101.wav
ears,p104_emo_pride_sentences,00719.wav
ears,p102_sentences_03_whisper,00256.wav
ears,p102_freeform_speech_01,00069.wav
ears,p104_rainbow_06_regular,00904.wav
ears,p103_rainbow_06_slow,00563.wav
ears,p107_rainbow_05_highpitch,01900.wav
ears,p104_rainbow_07_whisper,00921.wav
ears,p105_sentences_02_loud,01295.wav
ears,p102_rainbow_05_highpitch,00194.wav
ears,p106_sentences_05_loud,01664.wav
ears,p107_rainbow_07_fast,01919.wav
ears,p104_sentences_01_fast,00940.wav
ears,p102_sentences_02_lowpitch,00249.wav
ears,p106_freeform_speech_06,01520.wav
ears,p104_sentences_23_regular,01005.wav
ears,p104_rainbow_01_regular,00841.wav
ears,p104_rainbow_07_highpitch,00911.wav
ears,p106_sentences_09_fast,01674.wav
ears,p105_rainbow_08_slow,01272.wav
ears,p103_rainbow_08_slow,00601.wav
ears,p103_rainbow_04_whisper,00532.wav
ears,p103_emo_serenity_freeform,00360.wav
ears,p104_rainbow_05_highpitch,00887.wav
ears,p105_rainbow_05_fast,01217.wav
ears,p105_emo_embarassment_freeform,01033.wav
ears,p102_rainbow_01_highpitch,00165.wav
ears,p102_sentences_02_highpitch,00246.wav
ears,p103_rainbow_02_lowpitch,00487.wav
ears,p103_rainbow_02_highpitch,00482.wav
ears,p107_rainbow_08_whisper,01947.wav
ears,p105_sentences_01_slow,01286.wav
ears,p103_emo_amazement_sentences,00294.wav
ears,p107_freeform_speech_04,01808.wav
ears,p105_rainbow_06_whisper,01241.wav
ears,p106_rainbow_06_slow,01601.wav
ears,p105_sentences_07_slow,01316.wav
ears,p105_sentences_02_highpitch,01293.wav
ears,p102_sentences_12_highpitch,00273.wav
ears,p103_sentences_11_highpitch,00657.wav
ears,p103_sentences_22_regular,00679.wav
ears,p103_sentences_07_slow,00645.wav
ears,p103_emo_distress_sentences,00323.wav
ears,p107_rainbow_05_whisper,01911.wav
ears,p105_rainbow_02_lowpitch,01180.wav
ears,p106_rainbow_07_slow,01612.wav
ears,p106_rainbow_03_regular,01562.wav
ears,p103_sentences_12_highpitch,00658.wav
ears,p106_sentences_18_regular,01689.wav
ears,p105_rainbow_06_whisper,01242.wav
ears,p107_rainbow_05_regular,01906.wav
ears,p107_emo_extasy_sentences,01722.wav
ears,p105_sentences_03_whisper,01307.wav
ears,p106_rainbow_08_loud,01621.wav
ears,p103_rainbow_08_loud,00590.wav
ears,p104_sentences_02_fast,00952.wav
ears,p103_rainbow_01_loud,00472.wav
ears,p102_freeform_speech_04,00127.wav
ears,p103_freeform_speech_04,00431.wav
ears,p107_sentences_01_loud,01950.wav
ears,p105_sentences_01_fast,01277.wav
ears,p106_emo_confusion_freeform,01366.wav
ears,p103_freeform_speech_04,00422.wav
ears,p104_sentences_14_lowpitch,00987.wav
ears,p104_freeform_speech_01,00734.wav
ears,p107_sentences_02_highpitch,01960.wav
ears,p102_sentences_02_slow,00253.wav
ears,p103_sentences_17_regular,00669.wav
ears,p102_rainbow_01_lowpitch,00166.wav
ears,p104_rainbow_06_whisper,00907.wav
ears,p106_rainbow_07_loud,01606.wav
ears,p106_emo_disgust_sentences,01381.wav
ears,p106_sentences_02_loud,01650.wav
ears,p105_freeform_speech_05,01139.wav
ears,p102_sentences_09_fast,00268.wav
ears,p105_rainbow_06_slow,01240.wav
ears,p107_sentences_01_slow,01955.wav
ears,p106_rainbow_08_lowpitch,01623.wav
ears,p103_emo_sadness_sentences,00359.wav
ears,p102_freeform_speech_03,00106.wav
globe,S_001498_000001,000001.flac
globe,S_002392_000000,000000.flac
globe,S_018173_000000,000000.flac
globe,S_004068_000002,000002.flac
globe,S_012943_000004,000004.flac
globe,S_001596_000002,000002.flac
globe,S_003460_000000,000000.flac
globe,S_012612_000003,000003.flac
globe,S_009511_000001,000001.flac
globe,S_013340_000002,000002.flac
globe,S_000509_000002,000002.flac
globe,S_001343_000004,000004.flac
globe,S_018869_000001,000001.flac
globe,S_004500_000009,000009.flac
globe,S_011304_000002,000002.flac
globe,S_012700_000003,000003.flac
globe,S_007044_000011,000011.flac
globe,S_012464_000001,000001.flac
globe,S_020053_000001,000001.flac
globe,S_009855_000000,000000.flac
globe,S_004237_000000,000000.flac
globe,S_004295_000005,000005.flac
globe,S_020512_000000,000000.flac
globe,S_022368_000012,000012.flac
globe,S_006527_000003,000003.flac
globe,S_002721_000001,000001.flac
globe,S_010047_000000,000000.flac
globe,S_003864_000002,000002.flac
globe,S_002406_000003,000003.flac
globe,S_000146_000002,000002.flac
globe,S_019108_000004,000004.flac
globe,S_002912_000001,000001.flac
globe,S_017436_000006,000006.flac
globe,S_004321_000009,000009.flac
globe,S_020354_000003,000003.flac
globe,S_018884_000006,000006.flac
globe,S_009653_000011,000011.flac
globe,S_012769_000004,000004.flac
globe,S_009653_000007,000007.flac
globe,S_008310_000012,000012.flac
globe,S_001567_000000,000000.flac
globe,S_001221_000000,000000.flac
globe,S_015033_000009,000009.flac
globe,S_000016_000005,000005.flac
globe,S_022844_000000,000000.flac
globe,S_008364_000012,000012.flac
globe,S_014247_000003,000003.flac
globe,S_021994_000004,000004.flac
globe,S_022167_000000,000000.flac
globe,S_013035_000000,000000.flac
globe,S_015007_000001,000001.flac
globe,S_009653_000003,000003.flac
globe,S_005135_000005,000005.flac
globe,S_012432_000000,000000.flac
globe,S_013638_000001,000001.flac
globe,S_017082_000007,000007.flac
globe,S_019378_000002,000002.flac
globe,S_016915_000006,000006.flac
globe,S_004295_000008,000008.flac
globe,S_006957_000017,000017.flac
globe,S_013311_000004,000004.flac
globe,S_017239_000001,000001.flac
globe,S_023540_000001,000001.flac
globe,S_015824_000000,000000.flac
globe,S_020975_000002,000002.flac
globe,S_019519_000001,000001.flac
globe,S_011410_000001,000001.flac
globe,S_016140_000006,000006.flac
